Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
4703352559,2021-07-07 00:01:15,2021-07-06 11:48:00,,California,510,No Subject Provided,
2178398804,2021-07-07 00:01:41,2021-07-06 18:17:00,Clinton,Illinois,217,Warranties  & protection plans,Y
5205269536,2021-07-07 00:01:46,2021-07-06 15:25:00,Riverside,California,951,Other,Y
70611454600144,2021-07-07 00:01:49,2021-07-06 11:45:00,,California,510,No Subject Provided,
4703358509,2021-07-07 00:02:24,2021-07-06 10:17:00,,California,510,No Subject Provided,
2088291938,2021-07-07 00:03:08,2021-06-07 00:00:00,,Idaho,208,No Subject Provided,Y
3463750404,2021-07-07 00:03:25,2021-07-06 16:27:00,Riverside,California,951,Other,Y
8085009277,2021-07-07 00:04:50,2021-07-06 18:01:00,Honolulu,Hawaii,808,Other,N
4029379164,2021-07-07 00:05:24,2021-07-06 18:00:00,Honolulu,Hawaii,808,Vacation  & timeshares,N
4708091299,2021-07-07 00:05:28,2021-06-02 15:11:00,,California,510,No Subject Provided,
4702966527,2021-07-07 00:06:08,2021-06-30 13:05:00,,California,510,No Subject Provided,
4708091299,2021-07-07 00:06:38,2021-06-30 15:11:00,,California,510,No Subject Provided,
7028065427,2021-07-07 00:07:28,2021-07-06 14:53:00,,Nevada,702,Other,Y
5105994943,2021-07-07 00:07:40,2021-05-26 15:37:00,,California,510,No Subject Provided,
9492124827,2021-07-07 00:08:19,2021-07-06 17:34:00,Irvine,California,949,No Subject Provided,N
2123407368,2021-07-07 00:08:24,2021-06-07 08:42:00,,California,510,No Subject Provided,
9187779044,2021-07-07 00:09:12,2021-07-03 09:16:00,,Oklahoma,405,Dropped call or no message,Y
4705356573,2021-07-07 00:11:03,2021-07-06 13:22:00,Toledo,Ohio,470,Dropped call or no message,Y
4053867466,2021-07-07 00:11:13,2021-06-30 18:35:00,,Oklahoma,405,Dropped call or no message,Y
7202806639,2021-07-07 00:11:16,2021-07-06 22:06:00,,Colorado,303,Dropped call or no message,
7755143755,2021-07-07 00:11:49,2021-07-05 13:09:00,,California,818,Other,Y
4699020654,2021-07-07 00:13:08,2021-07-04 12:00:00,,California,818,Other,Y
4058576465,2021-07-07 00:13:33,2021-06-29 14:11:00,,Oklahoma,405,Dropped call or no message,Y
9253085952,2021-07-07 00:18:06,2021-07-06 14:11:00,,California,818,"Calls pretending to be government, businesses, or family and friends",Y
2175296834,2021-07-07 00:19:34,2021-06-30 08:56:00,Springfield,Illinois,217,No Subject Provided,
2172817961,2021-07-07 00:20:21,2021-06-30 09:40:00,Springfield,Illinois,217,No Subject Provided,
3192719010,2021-07-07 00:20:43,2021-07-06 17:40:00,,Iowa,319,Other,Y
6156826530,2021-07-07 00:21:13,2021-06-30 12:56:00,Springfield,Illinois,217,No Subject Provided,
